,movie_id,movie_name,year,genre,,director,cast
94,tt2178470,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical",,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
95,tt7142506,Sir,2018,"Drama, Romance",,Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra"
96,tt14295590,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta"
97,tt0374887,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
98,tt3495026,Fan,2016,"Action, Drama, Thriller",,Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
99,tt28540171,Welcome to the Jungle,2024, ,,Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez"
100,tt6148156,Vikram Vedha,2017,"Action, Crime, Drama",,"Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
101,tt0169102,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
102,tt28282716,Trial Period,2023,"Comedy, Drama",,Aleya Sen,"Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha"
103,tt18413766,Kathal: A Jackfruit Mystery,2023,"Comedy, Crime, Drama",,Yashowardhan Mishra,"Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav"
104,tt10280296,Sardar Udham,2021,"Biography, Crime, Drama",,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
